title,genres,keywords,overview,movie_id,cast,crew,revenue,vote_average,vote_count,popularity
avatar,"action,adventure,fantasy",culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d,"in the 22nd century , a paraplegic marine is dispatched to the moon pandora on a unique mission , but becomes torn between following order and protecting an alien civilization .",19995,"['Sam_Worthington', 'Zoe_Saldana', 'Sigourney_Weaver', 'Stephen_Lang', 'Michelle_Rodriguez']",['James_Cameron'],high revenue,7.2,high voted,low popularity
pirates of the caribbean: at world's end,"adventure,fantasy,action",ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,"captain barbossa , long believed to be dead , ha come back to life and is headed to the edge of the earth with will turner and elizabeth swann . but nothing is quite a it seems .",285,"['Johnny_Depp', 'Orlando_Bloom', 'Keira_Knightley', 'Stellan_Skarsgård', 'Chow_Yun-fat']",['Gore_Verbinski'],average revenue,6.9,low voted,low popularity
spectre,"action,adventure,crime",spy based on novel secret agent sequel mi6 british secret service united kingdom,"a cryptic message from bond ’ s past sends him on a trail to uncover a sinister organization . while m battle political force to keep the secret service alive , bond peel back the layer of deceit to reveal the terrible truth behind spectre .",206647,"['Daniel_Craig', 'Christoph_Waltz', 'Léa_Seydoux', 'Ralph_Fiennes', 'Monica_Bellucci']",['Sam_Mendes'],low revenue,6.3,low voted,low popularity
the dark knight rises,"action,crime,drama",dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman,"following the death of district attorney harvey dent , batman assumes responsibility for dent 's crime to protect the late attorney 's reputation and is subsequently hunted by the gotham city police department . eight year later , batman encounter the mysterious selina kyle and the villainous bane , a new terrorist leader who overwhelms gotham 's finest . the dark knight resurfaces to protect a city that ha branded him an enemy .",49026,"['Christian_Bale', 'Michael_Caine', 'Gary_Oldman', 'Anne_Hathaway', 'Tom_Hardy']",['Christopher_Nolan'],average revenue,7.6,average voted,low popularity
john carter,"action,adventure,science fiction",based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d,"john carter is a war-weary , former military captain who 's inexplicably transported to the mysterious and exotic planet of barsoom ( mar ) and reluctantly becomes embroiled in an epic conflict . it 's a world on the brink of collapse , and carter rediscovers his humanity when he realizes the survival of barsoom and it people rest in his hand .",49529,"['Taylor_Kitsch', 'Lynn_Collins', 'Samantha_Morton', 'Willem_Dafoe', 'Thomas_Haden_Church']",['Andrew_Stanton'],low revenue,6.1,low voted,low popularity
spider-man 3,"fantasy,action,adventure",dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge,"the seemingly invincible spider-man go up against an all-new crop of villain – including the shape-shifting sandman . while spider-man ’ s superpower are altered by an alien organism , his alter ego , peter parker , deal with nemesis eddie brock and also get caught up in a love triangle .",559,"['Tobey_Maguire', 'Kirsten_Dunst', 'James_Franco', 'Thomas_Haden_Church', 'Topher_Grace']",['Sam_Raimi'],low revenue,5.9,low voted,low popularity
tangled,"animation,family",hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick,"when the kingdom 's most wanted-and most charming-bandit flynn rider hide out in a mysterious tower , he 's taken hostage by rapunzel , a beautiful and feisty tower-bound teen with 70 foot of magical , golden hair . flynn 's curious captor , who 's looking for her ticket out of the tower where she 's been locked away for year , strike a deal with the handsome thief and the unlikely duo set off on an action-packed escapade , complete with a super-cop horse , an over-protective chameleon and a gruff gang of pub thug .",38757,"['Zachary_Levi', 'Mandy_Moore', 'Donna_Murphy', 'Ron_Perlman', 'M.C._Gainey']","['Byron_Howard', 'Nathan_Greno']",low revenue,7.4,low voted,low popularity
avengers: age of ultron,"action,adventure,science fiction",marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d,"when tony stark try to jumpstart a dormant peacekeeping program , thing go awry and earth ’ s mightiest hero are put to the ultimate test a the fate of the planet hang in the balance . a the villainous ultron emerges , it is up to the avenger to stop him from enacting his terrible plan , and soon uneasy alliance and unexpected action pave the way for an epic and unique global adventure .",99861,"['Robert_Downey_Jr.', 'Chris_Hemsworth', 'Mark_Ruffalo', 'Chris_Evans', 'Scarlett_Johansson']",['Joss_Whedon'],average revenue,7.3,average voted,low popularity
harry potter and the half-blood prince,"adventure,fantasy,family",witch magic broom school of witchcraft wizardry apparition teenage crush werewolf,"a harry begin his sixth year at hogwarts , he discovers an old book marked a 'property of the half-blood prince ' , and begin to learn more about lord voldemort 's dark past .",767,"['Daniel_Radcliffe', 'Rupert_Grint', 'Emma_Watson', 'Tom_Felton', 'Michael_Gambon']",['David_Yates'],average revenue,7.4,average voted,low popularity
batman v superman: dawn of justice,"action,adventure,fantasy",dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe,"fearing the action of a god-like super hero left unchecked , gotham city ’ s own formidable , forceful vigilante take on metropolis ’ s most revered , modern-day savior , while the world wrestle with what sort of hero it really need . and with batman and superman at war with one another , a new threat quickly arises , putting mankind in greater danger than it ’ s ever known before .",209112,"['Ben_Affleck', 'Henry_Cavill', 'Gal_Gadot', 'Amy_Adams', 'Jesse_Eisenberg']",['Zack_Snyder'],low revenue,5.7,average voted,low popularity
